timestamp,open,high,low,close,volume
0,98.00,100.00,97.50,99.00,1000000
1,93.00,95.00,92.50,94.00,1000000
2,92.00,94.00,91.50,93.00,1000000
3,92.50,94.50,92.00,93.50,1000000
4,93.00,95.00,92.50,94.00,1000000
5,93.50,95.50,93.00,94.50,1000000
6,94.00,96.00,93.50,95.00,1000000
7,94.20,96.20,93.70,95.20,1000000
8,90.00,92.00,89.50,91.00,1000000
9,89.00,91.00,88.50,90.00,1000000
10,88.00,90.00,87.50,89.00,1000000
11,87.00,89.00,86.50,88.00,1000000
12,86.00,88.00,85.50,87.00,1000000
13,85.00,87.00,84.50,86.00,1000000
14,84.50,86.50,84.00,85.50,1000000
15,84.50,86.50,84.00,85.50,1000000
16,85.00,87.00,84.50,86.00,1000000
17,85.50,87.50,85.00,86.50,1000000
18,86.00,88.00,85.50,87.00,1000000
19,86.50,88.50,86.00,87.50,1000000
20,89.00,95.00,87.50,88.00,2600000
21,90.00,92.00,89.50,91.00,1000000
22,88.00,90.00,87.50,89.00,1000000
23,87.00,89.00,86.50,88.00,1000000
24,86.00,88.00,85.50,87.00,1000000
25,85.50,87.50,85.00,86.50,1000000
26,85.00,87.00,84.50,86.00,1000000
27,84.50,86.50,84.00,85.50,1000000
28,83.00,85.00,82.50,84.00,1000000
29,82.50,84.50,82.00,83.50,1000000
30,82.00,84.00,81.50,83.00,1000000
31,81.50,83.50,81.00,82.50,1000000
32,81.00,83.00,80.50,82.00,1000000
33,82.00,84.00,81.50,83.00,1000000
34,83.00,85.00,82.50,84.00,1000000
35,84.00,86.00,83.50,85.00,1000000
36,82.00,84.00,81.50,83.00,1000000
37,80.00,82.00,79.50,81.00,1000000
38,79.00,81.00,78.50,80.00,1000000
39,78.00,80.00,77.50,79.00,1000000
