timestamp,open,high,low,close,volume
0,98.00,100.00,97.50,99.00,1000000
1,93.00,95.00,92.50,94.00,950000
2,91.00,93.00,90.50,92.00,930000
3,89.50,91.50,89.00,90.50,910000
4,90.00,92.00,89.50,91.00,900000
5,90.50,92.50,90.00,91.50,920000
6,91.00,93.00,90.50,92.00,1000000
7,88.00,90.00,87.50,89.00,880000
8,86.00,88.00,85.50,87.00,860000
9,85.00,87.00,84.50,86.00,850000
10,84.00,86.00,83.50,85.00,840000
11,83.50,85.50,83.00,84.50,855000
12,82.50,84.50,82.00,83.50,870000
13,81.50,83.50,81.00,82.50,830000
14,80.50,82.50,80.00,81.50,820000
15,79.50,81.50,79.00,80.50,810000
16,81.50,86.00,80.50,81.00,1500000
17,81.00,83.00,80.50,82.00,820000
18,80.00,82.00,79.50,81.00,800000
