timestamp,open,high,low,close,volume
0,98.00,100.00,97.00,99.00,1000000
1,96.00,97.00,95.00,96.00,1000000
2,94.00,95.00,93.00,94.00,1000000
3,93.00,94.00,92.00,93.00,1000000
4,92.00,93.00,91.00,92.00,1000000
5,91.50,92.50,90.50,91.50,1000000
6,91.00,92.00,90.00,91.00,1000000
7,90.50,91.50,89.50,90.50,1000000
8,90.00,91.00,89.00,90.00,1000000
9,89.50,90.50,88.50,89.50,1000000
10,89.00,90.00,88.00,89.00,1000000
11,88.50,89.50,87.50,88.50,1000000
12,88.00,89.00,87.00,88.00,1000000
13,88.50,89.50,87.50,88.50,1000000
14,89.00,90.00,88.00,89.00,1000000
15,88.50,89.50,87.50,88.50,1000000
16,88.00,89.00,87.00,88.00,1000000
17,88.50,89.50,87.50,88.50,1000000
18,88.80,89.80,87.80,88.80,1000000
19,88.90,89.90,87.90,88.90,1000000
20,89.00,90.00,88.00,89.00,1000000
21,88.00,89.00,87.00,88.00,1000000
22,87.50,88.50,86.50,87.50,1000000
23,87.00,88.00,86.00,87.00,1000000
24,86.50,87.50,85.50,86.50,1000000
25,86.00,87.00,85.00,86.00,1000000
26,85.80,86.80,84.80,85.80,1000000
27,85.50,86.50,84.50,85.50,1000000
28,86.80,87.90,86.50,87.00,1000000
29,85.30,86.30,84.30,85.30,1000000
30,86.00,86.40,85.80,86.10,1000000
