timestamp,open,high,low,close,volume
0,98.00,100.00,97.00,99.00,1000000
1,97.00,98.00,95.00,96.00,950000
2,95.00,96.00,93.00,94.00,930000
3,93.00,94.00,91.00,92.00,910000
4,91.00,92.00,89.00,90.00,890000
5,89.00,90.00,87.00,88.00,870000
6,87.00,88.00,85.00,86.00,850000
7,85.00,86.00,83.00,84.00,830000
8,83.00,84.00,81.00,82.00,810000
9,81.00,82.00,79.00,80.00,790000
10,79.00,80.00,77.00,78.00,770000
11,77.00,78.00,75.00,76.00,750000
12,75.00,76.00,73.00,74.00,730000
13,73.00,74.00,71.00,72.00,710000
14,71.00,72.00,69.00,70.00,690000
