timestamp,open,high,low,close,volume
0,196.00,200.00,190.00,192.00,2000000
1,190.00,180.00,175.00,178.00,1500000
2,176.00,160.00,156.00,158.00,1400000
3,158.00,162.00,156.00,160.00,1350000
4,160.00,165.00,159.00,163.00,1300000
5,163.00,170.00,164.00,167.00,1600000
6,166.00,160.00,155.00,157.00,1200000
7,156.00,148.00,144.00,146.00,1150000
8,145.00,145.00,141.00,143.00,1100000
9,143.00,147.00,142.00,145.00,1120000
10,145.00,150.00,145.00,148.00,1300000
11,147.00,146.00,142.00,143.00,1050000
12,142.00,140.00,136.00,138.00,1000000
13,137.00,138.00,134.00,135.00,980000
14,134.00,135.00,131.00,132.00,960000
