timestamp,open,high,low,close,volume
0,98.00,100.00,97.50,99.00,1000000
1,95.00,97.00,94.50,96.00,1000000
2,93.00,95.00,92.50,94.00,1000000
3,91.00,93.00,90.50,92.00,1000000
4,90.00,92.00,89.50,91.00,1000000
5,91.00,93.00,90.50,92.00,1000000
6,92.00,94.00,91.50,93.00,1000000
7,90.00,92.00,89.50,91.00,1000000
8,89.00,91.00,88.50,90.00,1000000
9,88.00,90.00,87.50,89.00,1000000
10,87.00,89.00,86.50,88.00,1000000
11,86.00,88.00,85.50,87.00,1000000
12,108.00,112.00,107.00,111.00,3000000
13,106.00,108.00,105.50,107.00,1500000
14,104.00,106.00,103.50,105.00,1500000
15,103.00,105.00,102.50,104.00,1500000
16,99.00,101.00,98.50,100.00,1000000
17,97.00,99.00,96.50,98.00,1000000
18,95.00,97.00,94.50,96.00,1000000
19,93.00,95.00,92.50,94.00,1000000
