timestamp,open,high,low,close,volume
0,98.00,100.00,97.00,99.00,1000000
1,96.00,95.00,92.00,93.00,900000
2,91.00,90.00,88.00,89.00,850000
3,89.00,88.00,86.00,87.00,800000
4,87.00,89.00,86.00,88.00,820000
5,88.00,90.00,87.00,89.00,830000
6,89.00,92.00,88.00,91.00,900000
7,90.00,89.00,86.00,87.00,780000
8,86.00,87.00,84.00,85.00,760000
9,84.00,85.00,82.00,83.00,750000
10,83.00,86.00,82.00,85.00,770000
11,85.00,87.00,84.00,86.00,790000
12,86.00,88.00,84.00,87.00,860000
13,84.00,85.00,82.00,83.00,740000
14,82.00,83.00,80.00,81.00,720000
15,81.00,82.00,79.00,80.00,700000
16,84.50,88.00,84.00,87.00,2000000
17,87.00,89.00,86.00,88.00,1700000
18,86.50,88.00,85.00,86.00,1200000
19,84.00,85.00,82.00,83.00,1100000
20,81.50,82.00,76.00,77.00,2200000
21,76.50,78.00,75.00,76.00,1500000
22,75.50,77.00,74.00,75.00,1300000
23,74.50,76.00,73.00,74.00,1200000
