timestamp,open,high,low,close,volume
0,98.00,100.00,97.50,99.00,1000000
1,94.00,96.00,93.50,95.00,950000
2,91.00,93.00,90.50,92.00,930000
3,88.00,90.00,87.50,89.00,910000
4,87.00,89.00,86.50,88.00,890000
5,88.00,90.00,87.50,89.00,900000
6,90.00,92.00,89.50,91.00,1000000
7,88.00,90.00,87.50,89.00,860000
8,86.00,88.00,85.50,87.00,840000
9,85.00,87.00,84.50,86.00,820000
10,106.00,110.00,105.00,108.00,3000000
11,104.00,106.00,103.50,105.00,1500000
12,102.00,104.00,101.50,103.00,1300000
13,101.00,103.00,100.50,102.00,1200000
14,97.00,99.00,96.50,98.00,1150000
15,95.00,97.00,94.50,96.00,1250000
16,93.00,95.00,92.50,94.00,1400000
17,91.00,93.00,90.50,92.00,1100000
18,89.00,91.00,88.50,90.00,1050000
19,87.00,89.00,86.50,88.00,1080000
20,85.00,87.00,84.50,86.00,1000000
