timestamp,open,high,low,close,volume
0,198.00,200.00,196.00,199.00,1000000
1,149.00,150.00,147.00,148.50,1000000
2,153.00,155.00,152.00,154.00,1000000
3,156.00,158.00,155.00,157.00,1000000
4,158.00,160.00,157.00,159.00,1000000
5,156.50,158.00,155.00,156.50,1000000
6,153.00,154.00,151.00,152.50,1000000
7,149.00,150.00,147.00,148.50,1000000
8,145.00,146.00,143.00,144.50,1000000
9,141.00,142.00,139.00,140.50,1000000
10,137.00,138.00,135.00,136.50,1000000
11,133.00,134.00,131.00,132.50,1000000
12,129.00,130.00,127.00,128.50,1000000
13,125.00,126.00,123.00,124.50,1000000
14,119.50,120.50,117.50,119.00,1000000
15,118.00,119.00,116.00,117.50,1000000
16,119.00,120.00,117.00,119.00,1000000
17,113.00,114.00,111.00,112.50,1000000
18,109.00,110.00,107.00,108.50,1000000
19,105.00,106.00,103.00,104.50,1000000
20,101.00,102.00,99.00,100.50,1000000
