timestamp,open,high,low,close,volume
0,98.00,100.00,97.00,99.00,1000000
1,96.00,95.00,92.00,93.00,1000000
2,91.00,90.00,88.00,89.00,1000000
3,89.00,88.00,86.00,87.00,1000000
4,87.00,89.00,86.00,88.00,1000000
5,88.00,90.00,87.00,89.00,1000000
6,89.00,92.00,88.00,91.00,1000000
7,90.00,89.00,86.00,87.00,1000000
8,86.00,87.00,84.00,85.00,1000000
9,84.00,85.00,82.00,83.00,1000000
10,83.00,86.00,82.00,85.00,1000000
11,85.00,87.00,84.00,86.00,1000000
12,86.00,88.00,84.00,87.00,1000000
13,84.00,85.00,82.00,83.00,1000000
14,82.00,83.00,80.00,81.00,1000000
15,81.00,82.00,79.00,80.00,1000000
16,84.50,88.00,84.00,87.00,300000
17,87.20,89.00,86.50,88.00,320000
18,88.20,90.00,87.50,89.00,310000
