timestamp,open,high,low,close,volume
0,98.00,100.00,97.50,99.00,1000000
1,95.00,97.00,94.50,96.00,1000000
2,94.50,96.50,94.00,95.50,1000000
3,94.00,96.00,93.50,95.00,1000000
4,93.50,95.50,93.00,94.50,1000000
5,93.50,95.50,93.00,94.50,1000000
6,93.50,95.50,93.00,94.50,1000000
7,93.50,95.50,93.00,94.50,1000000
8,91.00,93.00,90.50,92.00,1000000
9,90.00,92.00,89.50,91.00,1000000
10,89.00,91.00,88.50,90.00,1000000
11,88.00,90.00,87.50,89.00,1000000
12,87.00,89.00,86.50,88.00,1000000
13,86.00,88.00,85.50,87.00,1000000
14,85.00,87.00,84.50,86.00,1000000
15,84.00,86.00,83.50,85.00,1000000
16,84.00,86.00,83.50,85.00,1000000
17,84.50,86.50,84.00,85.50,1000000
18,85.00,87.00,84.50,86.00,1000000
19,85.00,87.00,84.50,86.00,1000000
20,87.00,96.00,85.50,86.00,1800000
21,88.00,90.00,87.50,89.00,1000000
22,87.50,89.50,87.00,88.50,1000000
23,87.00,89.00,86.50,88.00,1000000
24,86.50,88.50,86.00,87.50,1000000
25,86.00,88.00,85.50,87.00,1000000
26,85.50,87.50,85.00,86.50,1000000
27,85.00,87.00,84.50,86.00,1000000
28,84.50,86.50,84.00,85.50,1000000
29,84.00,86.00,83.50,85.00,1000000
30,83.50,85.50,83.00,84.50,1000000
31,84.00,86.00,83.50,85.00,1000000
32,84.50,86.50,84.00,85.50,1000000
33,85.00,87.00,84.50,86.00,1000000
34,85.50,87.50,85.00,86.50,1000000
35,86.00,88.00,85.50,87.00,1000000
36,86.50,88.50,86.00,87.50,1000000
37,87.00,89.00,86.50,88.00,1000000
38,87.50,89.50,87.00,88.50,1000000
39,88.00,90.00,87.50,89.00,1000000
40,88.20,90.20,87.70,89.20,1000000
41,88.40,90.40,87.90,89.40,1000000
42,88.50,90.50,88.00,89.50,1000000
43,88.60,90.60,88.10,89.60,1000000
44,88.80,90.80,88.30,89.80,1000000
45,90.50,92.00,89.50,90.00,1500000
46,88.00,90.00,87.50,89.00,1000000
47,87.00,89.00,86.50,88.00,1000000
48,86.00,88.00,85.50,87.00,1000000
49,85.00,87.00,84.50,86.00,1000000
50,84.00,86.00,83.50,85.00,1000000
51,83.00,85.00,82.50,84.00,1000000
52,82.00,84.00,81.50,83.00,1000000
53,81.00,83.00,80.50,82.00,1000000
54,80.50,82.50,80.00,81.50,1000000
55,80.00,82.00,79.50,81.00,1000000
56,79.50,81.50,79.00,80.50,1000000
57,79.00,81.00,78.50,80.00,1000000
58,78.50,80.50,78.00,79.50,1000000
59,78.00,80.00,77.50,79.00,1000000
60,77.50,79.50,77.00,78.50,1000000
61,77.00,79.00,76.50,78.00,1000000
62,76.50,78.50,76.00,77.50,1000000
63,76.00,78.00,75.50,77.00,1000000
64,75.50,77.50,75.00,76.50,1000000
65,75.00,77.00,74.50,76.00,1000000
66,74.50,76.50,74.00,75.50,1000000
67,74.00,76.00,73.50,75.00,1000000
68,74.50,76.50,74.00,75.50,1000000
69,75.00,77.00,74.50,76.00,1000000
70,78.00,80.00,77.50,79.00,1000000
71,77.00,79.00,76.50,78.00,1000000
72,76.00,78.00,75.50,77.00,1000000
73,75.00,77.00,74.50,76.00,1000000
